75C, 69C, 55C, 51C, 31C, 66C, 3C, 92C, 96C, 7C,
70C, 69C, 1C, 5C, 18C, 82C, 63C, 7C, 16C, 11C,
29C, 30C, 41C, 8C, 43C, 97C, 57C, 0C, 25C, 82C,
65C, 65C, 7C, 93C, 27C, 2C, 74C, 78C, 46C, 84C,
3C, 78C, 58C, 2C, 4C, 89C, 53C, 15C, 56C, 85C,
11C, 79C, 33C, 58C, 27C, 19C, 9C, 97C, 74C, 77C,
82C, 20C, 55C, 84C, 52C, 5C, 80C, 65C, 9C, 32C,
94C, 10C, 0C, 90C, 87C, 23C, 82C, 22C, 89C, 89C,
28C, 2C, 88C, 7C, 62C, 41C, 27C, 23C, 95C, 81C,
11C, 69C, 91C, 83C, 6C, 28C, 67C, 43C, 19C, 90C,
27C, 14C, 73C, 38C, 49C, 17C, 91C, 27C, 81C, 18C,
79C, 0C, 11C, 73C, 47C, 26C, 87C, 47C, 15C, 12C,
78C, 11C, 70C, 10C, 8C, 32C, 14C, 53C, 2C, 45C,
55C, 35C, 40C, 16C, 25C, 74C, 3C, 26C, 36C, 18C,
5C, 12C, 39C, 57C, 46C, 1C, 13C, 55C, 17C, 73C,
60C, 44C, 38C, 32C, 69C, 37C, 85C, 35C, 48C, 95C,
40C, 55C, 39C, 99C, 69C, 14C, 23C, 81C, 75C, 93C,
7C, 95C, 54C, 60C, 64C, 77C, 94C, 26C, 81C, 93C,
74C, 63C, 11C, 35C, 32C, 88C, 58C, 58C, 86C, 16C,
39C, 75C, 49C, 27C, 75C, 29C, 60C, 21C, 1C, 58C,
78C, 16C, 74C, 82C, 29C, 36C, 66C, 61C, 7C, 38C,
74C, 1C, 17C, 44C, 72C, 9C, 13C, 17C, 63C, 34C,
59C, 34C, 39C, 3C, 52C, 14C, 90C, 74C, 58C, 13C,
94C, 42C, 40C, 47C, 65C, 60C, 40C, 94C, 85C, 74C,
69C, 69C, 24C, 15C, 73C, 60C, 38C, 88C, 95C, 38C,
18C, 56C, 87C, 17C, 24C, 19C, 26C, 79C, 12C, 63C,
65C, 36C, 69C, 19C, 93C, 83C, 7C, 90C, 74C, 19C,
1C, 16C, 99C, 48C, 67C, 84C, 34C, 89C, 62C, 57C,
53C, 76C, 30C, 97C, 29C, 59C, 30C, 51C, 73C, 23C,
7C, 1C, 18C, 43C, 37C, 31C, 88C, 93C, 64C, 55C,
83C, 34C, 4C, 71C, 50C, 14C, 30C, 34C, 97C, 59C,
98C, 66C, 43C, 43C, 12C, 32C, 20C, 64C, 48C, 9C,
39C, 29C, 96C, 62C, 9C, 25C, 80C, 28C, 47C, 23C,
91C, 35C, 84C, 98C, 28C, 11C, 23C, 44C, 45C, 38C,
59C, 48C, 70C, 5C, 50C, 75C, 55C, 78C, 29C, 42C,
28C, 6C, 74C, 93C, 79C, 30C, 85C, 92C, 48C, 73C,
78C, 47C, 59C, 66C, 58C, 24C, 11C, 58C, 7C, 85C,
17C, 93C, 36C, 53C, 41C, 70C, 87C, 52C, 91C, 55C,
23C, 66C, 73C, 23C, 41C, 80C, 61C, 6C, 1C, 72C,
52C, 98C, 51C, 11C, 46C, 6C, 67C, 51C, 34C, 70C,
30C, 64C, 2C, 48C, 28C, 45C, 51C, 66C, 77C, 32C,
24C, 61C, 38C, 77C, 55C, 28C, 48C, 73C, 99C, 87C,
62C, 84C, 84C, 57C, 93C, 83C, 2C, 53C, 22C, 9C,
82C, 30C, 47C, 84C, 39C, 8C, 33C, 81C, 20C, 43C,
77C, 75C, 73C, 37C, 45C, 99C, 31C, 23C, 93C, 43C,
76C, 39C, 29C, 88C, 93C, 65C, 33C, 53C, 27C, 28C,
71C, 59C, 16C, 77C, 37C, 0C, 43C, 70C, 2C, 64C,
95C, 87C, 17C, 80C, 46C, 24C, 15C, 52C, 86C, 32C,
11C, 84C, 28C, 81C, 32C, 51C, 70C, 56C, 53C, 16C,
57C, 2C, 38C, 84C, 19C, 11C, 80C, 3C, 30C, 14C,
70C, 25C, 98C, 80C, 92C, 43C, 21C, 28C, 5C, 61C,
96C, 69C, 9C, 34C, 33C, 59C, 60C, 69C, 45C, 71C,
